[Latitude],[Longitude],[Value]
0.83353,99.33334,0.00003
9.83353,104.83345,0.00003
0.0001,99.83335,0.000031
0.66678,99.33334,0.000031
0.66676,99.50001,0.000032
0.83343,99.66668,0.000032
0.83345,99.50001,0.000032
0.16679,99.66668,0.000033
0.50009,99.33334,0.000034
0.33346,99.50001,0.000034
0.16677,99.83335,0.000035
0.50011,99.16667,0.000035
0.00012,99.83335,0.000035
0.0001,99.66668,0.000037
0.33344,99.83335,0.000037
0.66678,99.50001,0.000037
0.00012,99.66668,0.000037
0.16675,99.16667,0.000038
0.83343,99.50001,0.000038
0.50011,99.33334,0.000038
0.33346,99.66668,0.000038
0.50011,99.83335,0.000039
0.83345,99.83335,0.000039
0.33346,99.16667,0.000039
1.83337,102.83341,0.00004
1.83337,109.83355,0.00004
1.83337,110.16689,0.00004
2.33338,100.83337,0.00004
2.33338,101.00004,0.00004
3.00006,100.00002,0.00004
3.16673,100.16669,0.00004
3.3334,100.33336,0.00004
3.50007,100.6667,0.00004
3.50007,100.83337,0.00004
0.16677,99.66668,0.00004
0.50011,99.50001,0.00004
0.83345,99.66668,0.00004
6.33346,100.00002,0.00004
0.6668,99.16667,0.00004
0.33354,99.16667,0.00004
0.33344,99.66668,0.000041
0.50011,99.66668,0.000041
0.66678,99.66668,0.000041
0.66678,99.83335,0.000041
0.66676,99.33334,0.000042
0.50015,99.16667,0.000042
0.0001,99.50001,0.000043
0.33344,99.16667,0.000043
0.33344,99.50001,0.000043
0.50013,99.33334,0.000043
0.33344,99.33334,0.000044
0.50013,99.50001,0.000044
0.16677,99.50001,0.000045
0.33348,99.16667,0.000045
0.83343,99.33334,0.000047
0.33342,99.16667,0.000048
0.16677,99.33334,0.000048
0.0001,99.33334,0.000049
0.16667,122.3338,0.00005
0.33334,122.3338,0.00005
1.83337,110.33356,0.00005
2.16671,101.16671,0.00005
3.16673,100.00002,0.00005
3.16673,100.33336,0.00005
3.16673,101.16671,0.00005
3.3334,100.50003,0.00005
3.3334,100.6667,0.00005
3.3334,101.00004,0.00005
5.16677,115.50033,0.00005
9.50019,104.83345,0.00005
0.83353,99.50001,0.00005
0.16677,99.16667,0.000053
0.66686,99.83335,0.000053
0.50009,99.16667,0.000057
0.33352,99.83335,0.000058
0.6668,99.50001,0.000059
0.83335,103.33342,0.00006
1.50003,103.33342,0.00006
1.6667,110.6669,0.00006
1.6667,110.83357,0.00006
1.6667,111.00024,0.00006
2.66672,100.50003,0.00006
3.16673,100.50003,0.00006
3.3334,100.83337,0.00006
0.0001,99.16667,0.00006
6.16679,100.16669,0.00006
0.6668,99.33334,0.00006
7.66682,100.16669,0.00006
0.16681,99.50001,0.000061
0.83353,99.66668,0.000061
0.66676,99.16667,0.000062
0.83343,99.16667,0.000064
0.83347,99.16667,0.000064
1.00002,103.16675,0.00007
1.16669,102.83341,0.00007
2.83339,100.16669,0.00007
2.83339,100.50003,0.00007
9.66686,104.83345,0.00007
9.83353,104.50011,0.00007
0.16681,99.16667,0.000076
0.83347,99.50001,0.000077
0.83353,99.83335,0.000078
1.00002,103.66676,0.00008
2.50005,100.6667,0.00008
3.00006,100.16669,0.00008
3.16673,100.6667,0.00008
0.0002,99.33334,0.00008
0.83347,99.33334,0.000084
0.33334,108.33352,0.00009
0.33334,122.50047,0.00009
1.83337,110.00022,0.00009
2.66672,101.50005,0.00009
3.00006,100.33336,0.00009
3.16673,100.83337,0.00009
3.16673,101.00004,0.00009
9.66686,105.00012,0.00009
0.16667,122.50047,0.0001
1.16669,128.16725,0.0001
1.83337,110.50023,0.0001
2.83339,100.33336,0.0001
3.00006,100.50003,0.0001
3.00006,101.16671,0.0001
5.0001,118.33372,0.0001
9.66686,104.66678,0.0001
10.0002,105.00012,0.0001
10.3335,103.83343,0.0001
0.00014,99.50001,0.000103
0.33348,99.33334,0.000103
0.00014,99.33334,0.000108
1.16669,128.00058,0.00011
1.33336,103.33342,0.00011
1.50003,103.16675,0.00011
3.00006,100.6667,0.00011
1.33336,128.00058,0.00012
2.50005,100.83337,0.00012
2.66672,100.6667,0.00012
2.83339,100.6667,0.00012
0.16687,99.33334,0.00012
0.00014,99.16667,0.000125
3.00006,100.83337,0.00013
3.00006,101.00004,0.00013
0.16681,99.33334,0.000134
0.66668,108.83353,0.00014
1.00002,103.50009,0.00014
1.33336,103.16675,0.00014
1.50003,103.00008,0.00015
0.0002,99.50001,0.00015
2.66672,100.83337,0.00016
2.83339,100.83337,0.00016
0.33354,99.33334,0.00016
0.33334,122.66714,0.00017
1.33336,102.83341,0.00017
1.33336,103.00008,0.00017
8.66684,100.00002,0.00017
0.83355,99.50001,0.00017
3.16673,113.00028,0.00018
1.50003,102.50007,0.00019
1.6667,103.00008,0.00019
2.83339,101.00004,0.00019
2.83339,101.16671,0.00019
9.83353,104.16677,0.00019
0.66688,99.33334,0.00019
0.16667,122.66714,0.0002
1.83337,110.6669,0.0002
2.00004,111.16691,0.0002
0.50021,99.33334,0.0002
14.1669,122.16713,0.0002
1.6667,101.83339,0.00021
9.66686,104.50011,0.00022
0.16667,104.33344,0.00023
1.50003,102.83341,0.00023
1.16669,103.00008,0.00024
1.16669,103.16675,0.00024
2.50005,101.00004,0.00024
2.66672,101.00004,0.00025
9.66686,100.00002,0.00025
8.00016,100.33336,0.00026
9.83353,104.0001,0.00027
9.33352,100.00002,0.00028
0.33334,122.83381,0.00029
0.50001,108.33352,0.00029
0.66668,103.33342,0.00029
1.16669,103.33342,0.00029
1.83337,110.83357,0.00029
1.83337,111.00024,0.00029
2.00004,118.00038,0.0003
2.33338,111.16691,0.0003
10.3335,103.50009,0.0003
10.3335,103.66676,0.0003
10.5002,103.50009,0.0003
11.0002,119.66708,0.0003
14.1669,121.83379,0.0003
0.16667,128.83393,0.00032
4.83343,118.33372,0.00032
0.33334,123.16715,0.00033
0.0002,99.66668,0.00033
0.16687,99.50001,0.00034
0.83335,127.83391,0.00035
2.66672,101.16671,0.00035
1.6667,102.83341,0.00036
0.33334,123.00048,0.00037
1.16669,103.50009,0.00037
1.16669,103.83343,0.00037
8.83351,100.00002,0.00037
6.00012,117.83371,0.00038
2.66672,101.33338,0.00039
2.33338,101.16671,0.0004
10.1668,103.83343,0.0004
22.6671,113.66696,0.0004
1.16669,103.66676,0.00041
1.33336,102.66674,0.00041
3.00006,112.3336,0.00041
2.00004,110.33356,0.00044
2.16671,101.33338,0.00044
2.50005,101.16671,0.00044
5.0001,115.33366,0.00044
9.83353,104.33344,0.00044
0.16667,122.83381,0.00045
2.00004,110.16689,0.00045
9.00018,100.00002,0.00045
2.00004,110.50023,0.00046
3.00006,112.00026,0.00046
3.00006,112.16693,0.00046
3.66674,113.33362,0.00048
2.00004,110.00022,0.00049
0.16667,104.16677,0.0005
10.0002,103.83343,0.0005
11.6669,124.66718,0.0005
0.16667,129.0006,0.00052
0.33334,129.0006,0.00052
9.16685,100.00002,0.00053
5.16677,115.33366,0.00054
0.16667,128.66726,0.00055
0.33354,99.50001,0.00055
2.00004,110.6669,0.00056
1.00002,104.0001,0.00057
1.83337,102.66674,0.00057
1.83337,118.00038,0.00059
8.16683,100.33336,0.00059
0.16687,99.66668,0.00059
11.0002,103.50009,0.0006
1.50003,102.66674,0.00062
2.16671,101.50005,0.00064
2.00004,111.00024,0.00065
2.16671,118.00038,0.00065
2.00004,110.83357,0.00067
2.33338,101.33338,0.00068
2.50005,101.33338,0.00068
8.66684,100.16669,0.00068
10.1668,103.50009,0.0007
0.50021,99.50001,0.0007
10.8335,119.66708,0.0007
0.66688,99.50001,0.00071
0.16667,104.0001,0.00073
1.00002,127.66724,0.00074
8.3335,100.33336,0.00074
0.66668,108.66686,0.00075
7.16681,100.50003,0.00075
0.50001,129.0006,0.00077
1.00002,127.83391,0.00077
0.0002,99.83335,0.00078
10.1668,103.66676,0.0008
10.6668,103.50009,0.0008
21.3337,107.66684,0.0008
2.00004,109.83355,0.00081
2.50005,101.66672,0.00081
0.16667,108.16685,0.00082
0.33354,99.66668,0.00084
3.83341,113.50029,0.00086
2.50005,101.50005,0.00087
9.83353,103.83343,0.00087
0.33334,128.83393,0.00088
9.83353,100.00002,0.00088
0.16667,123.00048,0.00089
0.83335,108.83353,0.00089
3.16673,112.16693,0.00089
8.83351,100.16669,0.0009
10.1668,103.33342,0.0009
9.00018,100.16669,0.00092
9.50019,104.66678,0.00092
0.16667,107.16683,0.00094
0.16667,129.16727,0.00094
0.33334,108.16685,0.00094
1.6667,102.66674,0.00095
5.0001,115.16699,0.00095
9.16685,100.16669,0.00095
2.33338,102.00006,0.00096
3.16673,112.00026,0.00096
0.33334,129.16727,0.00098
3.3334,117.50037,0.00098
1.6667,102.00006,0.00099
0.16687,99.83335,0.00099
22.3337,113.66696,0.001
0.16667,103.83343,0.00101
0.50001,129.16727,0.00101
2.16671,110.33356,0.00101
2.33338,101.50005,0.00101
3.00006,111.83359,0.00101
2.16671,101.66672,0.00103
2.16671,102.16673,0.00103
2.16671,110.50023,0.00103
2.66672,103.83343,0.00104
2.00004,102.50007,0.00105
0.50021,99.66668,0.00105
2.00004,109.66688,0.00106
9.50019,106.16681,0.00106
3.16673,112.3336,0.0011
7.50015,100.33336,0.0011
2.16671,111.00024,0.00111
9.50019,106.00014,0.00111
1.50003,128.16725,0.00114
1.83337,101.83339,0.00117
2.16671,110.6669,0.00117
9.33352,100.16669,0.00117
2.66672,103.66676,0.00119
10.0002,103.66676,0.0012
0.33354,99.83335,0.00121
0.66688,99.66668,0.00121
0.16667,107.3335,0.00122
3.16673,112.50027,0.00122
3.16673,112.83361,0.00122
2.16671,110.16689,0.00123
8.50017,100.33336,0.00124
0.83355,99.66668,0.00124
3.16673,112.66694,0.00125
2.16671,110.83357,0.00126
9.66686,125.83387,0.0013
10.8335,103.66676,0.0013
2.33338,101.66672,0.00131
0.66668,108.33352,0.00132
1.00022,99.66668,0.00133
0.33334,128.50059,0.00136
2.33338,101.83339,0.00138
2.83339,111.50025,0.00139
9.83353,106.50015,0.0014
10.1668,100.00002,0.0014
10.3335,103.33342,0.0014
0.50021,99.83335,0.0014
22.5004,113.16695,0.0014
3.50007,113.16695,0.00142
4.16675,113.83363,0.00144
3.3334,112.00026,0.00145
3.3334,113.00028,0.00145
0.33334,104.16677,0.00148
2.00004,101.83339,0.0015
